Document Title,Abstract,Chosen,Authors,Author Affiliations,Publication Year,Page,DOI,Link,Content type
ICT for the Prevention of Avian Influenza,"This paper intends to point out some problem of telemetry for wild birds and future technical expectations to prevent Avian Influenza. The ITU-D(International Telecommunications Union, Development Sector ) SG2(Study Group) Q14(Question) Rapporteur's Meeting hosted by the Ministry of Internal Affairs and Communications of Japan started in Tokyo on July 3-4, 2008. The Q14 deals with application of information and telecommunication technologies in health care. Meeting participants discussed the application of the information and communications technologies to help resolve some issues related to the improvement of access to medical treatment of people living in rural and remote areas of developing countries. The participants have also raised the question about the threat of avian influenza and what could be done with the ultimate goal of preventing and containing this disease. There were considerable deliberation on this emerging disease threat. Therefore, it was recommended that the ITU has to initiate the discussion at appropriate international level on how to set up the Integrated Information and Communications Network for Avian Influenza by using advanced information and telecommunication technologies for tracking of migratory birds. The participants concur in adopting the results of their work as the Statement of Appeal.",,"Nakajima I,Androuchko L,Juzoji H,Tomioka Y,Kitano T",,2009,124–129,,,Conference Paper
"MeghaOS: A Framework for Scalable, Interoperable Cloud Based Operating System","Cloud computing is becoming relevant due to increase in speed of Internet and reduction in its access cost. Desktop computing demands expensive hardware and software suits which become obsolete too often. Ownership of Personal Computers has always remained low in developing countries mainly due to its prohibitive cost. Alternate models of Computer usage like Public-Access Kiosks and low cost Laptops have been tried with limited success. Issues like security and privacy are major concerns in pubic computing. Laptops and other mobile devices lack required hardware support to run computing intensive applications. Increased penetration of Internet and mobile phones are providing new opportunities to bring computing closer to people. Cloud based Operating Systems are an effort in this direction. The present system, named MeghaOS, provides a framework for Desktop-like Operating System OS on a Web Browser. The Cloud becomes a metaphor for Operating System services accessed though Internet. Unlike traditional Operating System, MeghaOS can be accessed on any device having just a Web Browser. Since applications developed using this framework will be cached in Client's machine, network utility will be low. Since data and applications are hosted remotely users can use them without transferring data into local device. MeghaOS provides scalable, multi-device compatible, browser accessible framework for Cloud based Operating System demonstrating next generation computing paradigm.",,"Srinivasa KG,S. HR,H. MK,Venkatesh N",,2012,53–70,10.4018/ijcac.2012010104,https://doi-org.proxy.bnl.lu/10.4018/ijcac.2012010104;http://dx.doi.org/10.4018/ijcac.2012010104,Journal Article
Observing Gender Dynamics and Disparities with Mobile Phone Metadata,"We explore the extent to which gender disparities in Pakistan are reflected in the anonymized mobile phone logs of millions of Pakistani residents. Our analysis uses data capturing the communications behavior of several million individuals, for whom we observe the gender, but no additional demographic or personally identifying information. Here, we focus on validating aggregate regional patterns, correlating metrics derived from the mobile phone logs with socioeconomic statistics collected from more traditional sources. In these preliminary results, we observe a statistically significant relationship between districts with relatively high rates of female mobile phone penetration and districts that report high levels of gender parity in traditional surveys. However, this relationship is not uniform, and less developed regions exhibit a weaker correlation. We interpret these findings as suggestive evidence that such data can provide a novel perspective on gender dynamics in developing countries.",,"Reed PJ,Khan MR,Blumenstock J",,2016,,10.1145/2909609.2909632,https://doi-org.proxy.bnl.lu/10.1145/2909609.2909632;http://dx.doi.org/10.1145/2909609.2909632,Conference Paper
Information Security Vulnerability Prediction Based on Business Process Model Using Machine Learning Approach,,,"Hariyanti E,Djunaidy A,Siahaan D",,2021,,10.1016/j.cose.2021.102422,https://doi-org.proxy.bnl.lu/10.1016/j.cose.2021.102422;http://dx.doi.org/10.1016/j.cose.2021.102422,Journal Article
Shim Shimmeny: Evaluating the Security and Privacy Contributions of Link Shimming in the Modern Web,"Link shimming (also known as URL wrapping) is a technique widely used by websites, where URLs on a site are rewritten to direct link navigations to an intermediary endpoint before redirecting to the original destination. This ""shimming"" of URL clicks can serve navigation security, privacy, and analytics purposes, and has been deployed by prominent websites (e.g., Facebook, Twitter, Microsoft, Google) for over a decade. Yet, we lack a deep understanding of its purported security and privacy contributions, particularly in today's web ecosystem, where modern browsers provide potential alternative mechanisms for protecting link navigations without link shimming's costs.In this paper, we provide a large-scale empirical evaluation of link shimming's security and privacy contributions, using Facebook's real-world deployment as a case study. Our results indicate that even in the modern web, link shimming can provide meaningful security and privacy benefits to users broadly. These benefits are most notable for the sizable populations that we observed with a high prevalence of legacy browser clients, such as in mobile-centric developing countries. We discuss the tradeoff of these gains against potential costs. Beyond link shimming, our findings also provide insights for advancing user online protection, such as on the web ecosystem's distribution of responsibility, legacy software scenarios, and user responses to website security warnings.",,Li F,,2020,,,,Conference Paper
MM&Sec '11: Proceedings of the Thirteenth ACM Multimedia Workshop on Multimedia and Security,"It is our great pleasure to welcome you to the thirteenth ACM Multimedia Security Workshop -- MM&Sec'11. The workshop's continuing objective is to explore research in areas of multimedia data security such as data protection, media forensics, covert channels and security issues in biometrics, as well as related issues in public policy and multimedia infrastructure in real world application. Since 1998, MMSEC has fostered collaboration with researchers and developers in academia, industry and government.The academic world has seen a distressing drop in conference submission across fields and disciplines, and our workshop is no exception to this unfortunate trend. The call for papers attracted 24 submissions from Asia, Europe, Africa, and the United States. We are pleased, however, to see that the quality of papers remains high, confirming our theory that whatever economic phenomenon is reducing publication output, it is not holding back the most interesting and important works of scholarly research. This year's workshop features significant contributions in forensics and a track in biometrics, along with tracks in steganography, encryption and protocols, and applications.We are also pleased to feature not one but three invited speakers, in a series of invited talks on the subject of Bridging Research and Reality. The speakers--Chet Hosmer, Chief Scientist & Sr. Vice President, Allen Corporation; Tony Rodriguez, Chief Technology Officer at Digimarc; and Walter Bruehs of the FBI Forensic Audio, Video, and Imagery Analysis Unit-are experts in the fields of Steganography/Steganalysis, Watermarking, and Multimedia Forensics and will give talks that frame the discourse for related sessions within the workshop. Presentation topics will be focused on real-world lessons learned, the challenges of bringing technology to fruition, as well as applications and experiences with MM&Sec technology applications that range from commercial to law enforcement. It is our hope that these sessions will provoke and inspire attendees.",,,,2011,,,,Book
Accelerating Public Service Delivery in India: Application of Internet of Things and Artificial Intelligence in Agriculture,"The application of Information and Communication Technologies (ICTs) in the public sector can usher performance enhancement, productivity and social equity in public service delivery mechanisms. More specifically, emerging digital technologies including Artificial Intelligence (AI) can be employed for more effective retrieval and analysis of complex, real-time data that could also be captured and shared by devices supporting Internet of Things. Literature asserts that governments worldwide must adopt solutions offered by these emerging technologies to drive innovation in public service delivery mechanisms. Appreciating these claims, this study aims to explore the current and potential use of IoT and AI. Based on the related review of literature, the study puts forth a conceptual framework for creating an open and integrated national level agriculture stack (christened as KisanOne by the authors) so that developing countries like India can effectively espouse data driven approach in its agriculture sector. ""Kisan One"" combines varied aspects of a farmers' activities including weather forecast, soil health indices, seed procurement cycle, sowing cycles, details of fertilizers availability, crop prices, etc, in a unified national stack that is accessible to all the stakeholders using application programming interfaces (APIs). Needless to say, the proposed KisanOne is a utopian implementation where existing and contemporary digital initiatives get unified on a single platform.Datasets themselves have little intrinsic value sans any ability to extract meaning from it. Intelligent data analytics could be employed on real time datasets of KisanOne both for evidence based decision making as well as for malicious intent. This paper, therefore, attempts to offer an insight into such challenges as well as suggest policy recommendations that could strengthen existing regulatory mechanisms for effective implementation of IoT and AI in existing public service delivery schemes of India. The paper is divided into four broad sections. The first section builds the Background of the paper. The next section is divided into four subsections and in this section instance of Agriculture has been detailed with reference to its current scenario and prevailing solutions. India has started using technology in Agriculture to a great extent- some of these applications such as Kisan Suvidha2 mobile app, mKisan SMS Portal, Farmer's Portal, Soil Health Card, Fertilizer Monitoring System(FMS) software, Agrimarket App have been delineated in the study. A use case on transformation of agriculture sector using IoT and AI is also presented in one of the sub-sections. A National Level Integrated Agriculture Stack is also proposed in this paper. The subsequent section presents brief picture of key challenges of implementing IoT and AI in Agriculture sector followed by recommendations and Consulive Remarks. It is an innovative and descriptive study that primarily relies on secondary data gleaned from international/national journals, reports of Ministry of Electronics and Information Technology, Government of India and other online academic sources coupled with creative out-of-box thinking to propose the application of IoT and AI in varied public sectors with special emphasis on Agriculture.",,"Malhotra C,Anand R",,2020,62–69,10.1145/3428502.3428510,https://doi-org.proxy.bnl.lu/10.1145/3428502.3428510;http://dx.doi.org/10.1145/3428502.3428510,Conference Paper
Enhanced Symmetric Based Fully Homomorphic Encryption Using Residue Number System,"Cloud Computing has offered incredible benefits to online information management. However, data protection and privacy still remain an issue. The traditional cryptosystems that have been used include Advanced Encryption Standard and Data Encryption Standard. These schemes are considered inadequate because they require the release of secret keys for data decryption before computation can take place. To preserve integrity and privacy of cloud data, Homomorphic Encryption was introduced to perform computation on encrypted data. The existing asymmetric based Fully Homomorphic Encryption (FHE) schemes are not suitable forreal-world applications due to their high computation overhead and large key size management. Similarly, symmetric based FHE schemes suffer from insecurity against known plaintext/ciphertext attacks and generate a very large ciphertext size that requires a large number of bandwidths to transfer over the network. This study presents a broad assessment of FHE research practices based on 488 articles found in the Web of Science database between2008 and 2018 using bibliometric analysis. Furthermore, a symmetric based FHE scheme built on Matrix Operation for Randomization and Encryption (MORE) and Secret Information Moduli Set (SIMS) was proposed to enhance the existing MORE scheme. Likewise, to overcome the drawbacks of N-prime Model, Residue Number System (RNS) based N-prime model was proposed. Finally, hybrid symmetric based FHE framework was built based on the combination of RNS based N-prime model and MORE-SIMS to overcome the drawbacks of existing symmetric based FHE schemes. The results of bibliometric analysis across continents with publication distribution were found to be 40.16%, 27.66%, 25.41%, 3.89%, 2.05% and0.82% for Asia, North America, Europe, Australia, Africa and South America respectively. MORE-SIMS and MORE schemes produced encryption execution time of 0.066sec and0.063sec with ? × ? and ? × ? × ? storage overhead respectively. Also, the experimental results of proposed RNS based N-prime Model and hybrid framework revealed that averagely, plaintext to ciphertext size expansion ratio were 1:2.89 and 1:3.82 respectively with fast encryption and decryption time as compared to N-prime model with 1:10.21. Bibliometric Analysis revealed that the continent of Asia, North America and Europe had significant impacts in terms of research activities in comparison to other continents. Likewise, analysis highlighted top funding agencies, authors, countries and cited articles. Despite the additional security layer in MORE-SIMS, it still has very close encryption execution time and better storage overhead compared to the MORE scheme. RNS based N-prime Model for symmetric based FHE improves the system latency and reduces the ciphertext file expansion by approximately72% as compared to the existing N-prime Model. Hybrid symmetric based FHE framework satisfied homomorphism properties with robust inbuilt security that resists known plaintext/ciphertext attack or any other forms of statistical attacks. The ciphertext size produced by the proposed hybrid framework is less than 4 times of its equivalent plaintext size with a considerable encryption execution time and fast decryption time. Thus, guaranteed to provide optimum performance and reliable solution for securing integrity and privacy of user's data in the cloud.",,"Jimoh MK,Abdulraheem H,Akanbi C,Adesina L",,2021,,,,Ph.D. Thesis
Low-Cost Communication for Rural Internet Kiosks Using Mechanical Backhaul,"Rural kiosks in developing countries provide a variety of services such as birth, marriage, and death certificates, electricity bill collection, land records, email services, and consulting on medical and agricultural problems. Fundamental to a kiosk's operation is its connection to the Internet. Network connectivity today is primarily provided by dialup telephone, although Very Small Aperture Terminals (VSAT) or long-distance wireless links are also being deployed. These solutions tend to be both expensive and failure prone. Instead, we propose the use of buses and cars as ""mechanical backhaul"" devices to carry data to and from a village and an internet gateway. Building on the pioneering lead of Daknet [15], and extending the Delay Tolerant Networking Research Group architecture [24], we describe a comprehensive solution, encompassing naming, addressing, forwarding, routing, identity management, application support, and security. We believe that this architecture not only meets the top-level goals of low cost and robustness, but also exposes fundamental architectural principles necessary for any such design. We also describe our experiences in implementing a prototype of this architecture.",,"Seth A,Kroeker D,Zaharia M,Guo S,Keshav S",,2006,334–345,10.1145/1161089.1161127,https://doi-org.proxy.bnl.lu/10.1145/1161089.1161127;http://dx.doi.org/10.1145/1161089.1161127,Conference Paper
SafeStreet: Empowering Women against Street Harassment Using a Privacy-Aware Location Based Application,"Sexual harassment of women in public places (e.g., foot-paths, buses, and shopping malls) of major cities in developing countries is a growing concern. These harassments can happen in various forms ranging from commenting, catcalling, and staring to touching and groping, to attacking and raping. Though, the most severe form of harassments such as attacking and raping get some attention from the society, NGOs and law-enforcement agencies, unfortunately, other forms of harassments that are more widespread in public places remain largely un-attended or ignored in our conservative society. However, these harassments are more common and can have various negative psychological impacts on women that include a persistent feeling of insecurity, loss of self-esteem, restricted participation in daily life activities in public places. In this paper, we propose a crowd-powered privacy-aware location based mobile application, SafeStreet, that empowers women in public places against sexual harassments. SafeStreet allows a women to privately capture and share her own experiences in the street. SafeStreet enables a women to find a safe path, i.e., the path to a destination that has less harassment hazard, at any point of time.",,"Ali ME,Rishta SB,Ansari L,Hashem T,Khan AI",,2015,,10.1145/2737856.2737870,https://doi-org.proxy.bnl.lu/10.1145/2737856.2737870;http://dx.doi.org/10.1145/2737856.2737870,Conference Paper
