Document Title,Abstract,Chosen,Authors,Publication Year,DOI,Link,Journal/Location,Content type
MAFIS Overlay Network: Towards a Secure Network for Mobile Automated Fingerprint Identification System over Virtual Private Network (VPN),"The Philippines is an archipelago or string of over 7,640 islands in southeastern Asia. With the community's active support, the Philippine National Police (PNP) is entrusted with upholding the law, preventing and controlling crimes, maintaining peace and order, and ensuring public safety and internal security. There are currently 1,766 police stations across the country. With the geographical challenges, criminal identification procedures take time to complete. The Mobile Automated Fingerprint Identification System (MAFIS) addresses the issues. MAFIS is currently deployed and implemented in a cloud platform that can be accessed by authorized police personnel from the web and mobile application to expedite fingerprint identification procedures. In today's world, the internet has become the de facto standard for low-cost communications architecture, as well as a significant convenience for organizations and businesses seeking to expand their operations. Because the internet is widely available in practically every region, companies frequently demand it for their local presence. As a result, a secure route within this communication network is required to ensure confidential data crossing the public network. The fast rise of digital gadgets and their Internet connectivity has resulted in security vulnerabilities to user data. Security and privacy threats have become more sophisticated day by day, increasing the demand for an updated and highly secure medium to secure entities and their valuable information on the internet. Advanced measures and high technical skills adapted by attackers, security, and privacy threats have become more sophisticated day by day, increasing the demand for an updated and highly secure medium to secure entities and their valuable information into the internet. There are other alternatives available on the market today, but the Virtual Private Network (VPN) is the most popular for establishing a secure connection over the public internet. Constructing a tunnel between the sender and receiver provides the convenience of a shared network while also providing the security of a private network. The researchers took advantage of the opportunity to create the MAFIS Overlay Network, a secure network design for MAFIS that runs over a virtual private network (VPN). Two VPN implementations were considered on the strategy: a site-to-site VPN connecting all of the law-enforcement agencies' remote offices and a remote-access VPN for the scene-of-the-crime operatives (SOCO). Speed and performance tests were performed using the industry-standard method to ensure the framework's consistency for mobile and web applications. The overall performance scores were 99 and 87 for web and mobile apps, respectively. The speed and performance test results acquired on all of the system's modules in three different criteria in terms of performance, interaction, and visual stability are significantly better than the recommended value and are thus considered highly acceptable. Overall, MAFIS has satisfactorily passed the security and compliance tests conducted and is reflected as highly satisfactory.",,"Rey, William Penaflor and Baccay, Melito A.",2022,10.1145/3538806.3538812,https://doi-org.proxy.bnl.lu/10.1145/3538806.3538812,"Shanghai, China",
Side-Effects of Permissions Requested by Mobile Banking on Android Platform: A Case Study of Morocco,"No one among us can deny that Android has become in the last years one of the most popular mobile operating systems worldwide, as the price of this popularity, Android becomes the favorite destination of hackers and the main target of various attacks, which takes advantage of the users' ignorance. Nowadays, Android security has become a big problem due to the free app provided and features that make it very easy for anyone to develop it. Among the applications installed under Android we found M-Banking applications that are of course infected by the security problems that surround Android applications in all the coasts and we mention here especially the permissions requested when installing an M-Banking application that had in most cases no relation with their features or services provided. In this paper, we investigated the danger of the permissions requested by mobile banking applications, their effects on sensitive user data and that their relationship with the attack called ""Man in the middle"" and its different forms and we took Morocco as a case of study.",,"Latifa, Er-rajy and Ahemed, El Kiram My and Mohamed, El Ghazouani",2017,10.1145/3108421.3108433,https://doi-org.proxy.bnl.lu/10.1145/3108421.3108433,"Turku, Finland",
Philippine SUCs Compliance Performance on RA 10173: A Case Study on Bukidnon State University,"The advancements in technologies have accelerated educational institutions by improving service delivery while reducing costs. As a result, it provided avenues of learning, the use of online discussions, Virtual Learning Environments (VLEs) and mobile technologies, thus making data security vulnerable. With these, it is imperative that through the lens of R.A. 10173 and NPC's five pillars that data be protected by a policy that is sustained and executed effectively. This qualitative research using case study technique aimed to evaluate, explore and explain the level of compliance of Bukidnon State University (BukSU) with RA 10173. Likewise answering the research question how does PSUCs apply and integrate R.A. 10173 with its Information Systems and Business Processes? Using single case holistic design with common rationale, and pattern matching technique in interpreting the tabulated results. It was found out that BukSU, just like most government agencies in the Philippines, is qualitatively described as Partial Compliant. Furthermore, their compliance was due to moral suasion, where BukSU, considers it as its moral obligation to protect the students and its employees' data. An initiative from PASUC, to come up with a Data Privacy Manual that will serve as a model for all PSUC's in drafting their own manual, where BukSU practices can be aligned with that of PASUC. After the September 11, 2017, deadline, BukSU invested in a UTM Unified Threat Management with a three-year license to safeguard university data resources.",,"Flores, Rozanne Tuesday G. and Ching, Michelle Renee D.",2018,10.1145/3234781.3234790,https://doi-org.proxy.bnl.lu/10.1145/3234781.3234790,"Hong Kong, Hong Kong",
A Report on the First Workshop on Software Engineering for Artificial Intelligence (SE4AI 2020),"With advancement in technology-driven decision making, the software-intensive systems for decisions have become more robust, dynamic, adaptive, context-aware, dependable. Architectural designs of such systems crave for new approaches where the data-driven decision making has to be incorporated in the solution. Methods for recommendation mechanism, prediction of operation failures, dealing with unsafe conditions etc are going to be part of the solution itself. Integrating such features to conceive an intelligent system that will directly influence the business solution is mostly appreciated. This would not have been possible without the direct interference of Artificial Intelligence which has been a standard procedure of industrial repertoire since 1980s. The direct impact of AI on social and economic life has been been felt mostly in last decade (since 2007) with the advent of smart phone, which contribute largely to ""big data"". The era of ""big data"" has witnessed the efficacy of Machine Learning and there is a need of the hour to combine data-driven machine intelligence with human intelligence (insights and domain knowledge) to effectively make the software development (requirement, design, testing, deployment and operation management) intelligent. The research community has shown a keen interest in this emerging field. In this report, we present a pre-organization summary of the workshop to be held on February 27, 2020, at IIIT Jabbalpur (India), co-located with the 13th Innovations in Software Engineering Conference (ISEC 2020).",,"Bandyopadhyay, Soumyadip and Mukherjee, Rohan and Sarkar, Santonu",2020,10.1145/3385032.3385055,https://doi-org.proxy.bnl.lu/10.1145/3385032.3385055,"Jabalpur, India",
SIN '09: Proceedings of the 2nd International Conference on Security of Information and Networks,"It is our great pleasure to welcome you to the 2nd International Conference on Security of Information and Networks -- SIN 2009, this year organized in technical cooperation with ACM Special Interest Group on Security, Audit and Control (SIGSAC). The conference, similar to SIN 2007, covers practically all aspects of security of information and networks. The SIN 2007 Conference had such sections as ""Ciphers"", ""Mobile Agents and Networks,"" ""Attacks, Intrusion Detection, and Security Recommendations|,"" ""Security Software, Performance, and Experience,"" ""Access Control and Security Assurance."" SIN 2009 Conference sections are Security Assessment, Policies, Educational Programs (7 papers);Security and Integrity Management and Models (9 papers);Cryptography, Security and Networks (10 papers);Access Control and Security Assurance (10 papers);Attacks, Intrusion Detection (9 papers).The sections resemble those of SIN 2007 but slightly differ reflecting actual contents of the accepted papers. We received 114 submissions of which only a small portion was accepted based on at least two independent reviews. At times three, even four, reviews were secured before a decision could be made. Overall acceptance ratio is 39\%: 25 submissions were accepted as full papers (22\%), 16 as short (14\%), and 4 as fast abstract papers (3\%). The authors are from Bangladesh, China, Finland, Germany, India, Iran, Ireland, Italy, North Cyprus, Norway, Portugal, Russia, Spain, Sweden, Syria, Turkey, UK, and USA.The papers of ""Security Assessment, Policies, Educational Programs"" section consider such topics as risk and vulnerability estimation, a study on e-bank trusting, security assessment, and education issues. ""Security and Integrity Management and Models"" section papers consider various security management policies, models and architectures. ""Cryptography, Security and Networks"" section presents papers on several cryptosystems, mobile and sensor networks security and design issues. ""Access Control and Security Assurance"" section papers consider access control, authentication methods, digital signature, and database security problems. And finally, ""Attacks, Intrusion Detection"" section combines the papers discussing spam, phishing, denial of service and other attacks detecting and countering. SIN Conference gives researchers and practitioners a unique opportunity to share their perspectives with others interested in the various aspects of security of information and networks. We hope that these proceedings will serve as a valuable reference for security researchers and developers.",,,2009,,,"Famagusta, North Cyprus",
A Literature Review on the Various Trends of Digital Forensics Usage in Combating Cybercrimes,"Different cybercrimes have been identified with instances of ransomware, online scams, Denial of Service (DoS) and many more. Wherein in the present, a variety of solutions have also emerged to be able to combat cybercrime. In the Philippines, cybercrime has increased throughout the past few years with most of them being online scams. Digital forensics focuses on locating, acquiring, processing, analyzing, and reporting on electronically stored data. Its main goal is to extract data from different devices such as computers or smartphones, process it into actionable intelligence, and can then be used in the court of law. The researchers aim to know the effectiveness of digital forensics to fight cybercrime using the different emerging trends regarding digital forensics such as cloud, social media, IoT, and network forensics. For the Philippines, having sufficient infrastructure is a possible and rational solution since globally, technology keeps evolving and so do cyber-attacks and crimes. With this, one may be able to mitigate possible attacks and damages throughout the country.",,"Blancaflor, Eric and Arpilleda, Joseph Anthony and Garcia, Adam Ulric and Monasterial, Justin Angelo and Sulit, Romeo Robert",2023,10.1145/3592307.3592328,https://doi-org.proxy.bnl.lu/10.1145/3592307.3592328,"Fukuoka, Japan",
Analyzing Web Application Vulnerabilities: An Empirical Study on E-Commerce Sector in Bangladesh,"Internet based application services become the essential part of peoples' daily activities. Web applications are a complex organized mess of codes; the software industry often they are built-in extreme pressure to meet a deadline. Therefore, it often retains the vulnerability holes from the development phase to the operational phase. Coding flaws, improper input sanitization, server misconfiguration, etc. causes the application vulnerable to an attacker, which may lead to service interruption and theft of valuable information. This paper conducts an empirical analysis of e-commerce based web applications to evaluate the current web application security scenario in Bangladesh. The most prominent web application security scanner named as Acunetix and Nikto were used to evaluate this study. A breakdown has conjured based on analytical results to find out the types of vulnerability. It is concluded that Cross-Site Request Forgery shows most frequent vulnerability where maximum apps were found having this vulnerability so aptly ranked as number one. However, cross site scripting positioned top for high-level risk vulnerability in Bangladeshi e-commerce platform.",,"Rahman, Md. Abdur and Amjad, Mahfida and Ahmed, Byezid and Siddik, Md. Saeed",2020,10.1145/3377049.3377107,https://doi-org.proxy.bnl.lu/10.1145/3377049.3377107,"Dhaka, Bangladesh",
SCC '15: Proceedings of the 3rd International Workshop on Security in Cloud Computing,"It is our great pleasure to welcome you to the 2015 International Workshop on Security in Cloud Computing (SCC).Cloud computing has emerged as today's most exciting computing paradigm shift in information technology, since it promises numerous benefits, including lower costs, rapid scaling, easier maintenance, and ubiquitous availability. Meanwhile, cloud computing also raises many unique security and privacy challenges, especially when data and computation are outsourced to infrastructures which can be shared by multiple tenants, which requires expertise from various domains including access control, accountability, applied cryptography, architecture, auditing, availability, communications, dependability, hardware security, privacy-enhancing technologies, regulatory compliance, storage systems, trusted computing, to name a few. This workshop aims to bring together the research efforts from both the academia and industry in all security aspects related to cloud computing.This is the third year for our SCC workshop and we have witnessed steady growth. We received 25 submissions from fourteen countries covering four continents, including Australia, China, Denmark, Egypt, Finland, France, Germany, India, Indonesia, Israel, Italy, Japan, Russian Federation, and United States. The submissions were reviewed by a Technical Program Committee of 50 experts from eighteen countries or regions (again covering four continents, including Australia, Austria, Canada, China, France, Germany, Greece, Hong Kong, Israel, Italy, Japan, South Korea, Luxembourg, Singapore, Spain, Switzerland, United Kingdom, and United States). Most submissions received at least 4 review reports. The final program contains 8 papers, representing an acceptance rate of 32\%. We thank the Program Committee members as well as 19 external reviewers for their volunteer work, EasyChair for providing a user-friendly system for our review process, and all the people who contributed to the success of SCC.This year's SCC workshop also features ""Short Talks on Emerging Areas in Cloud Security"", by Dr. Sherman S.M. Chow from the Chinese University of Hong Kong (CUHK), Hong Kong, on ""Processing Encrypted Data"", and Dr. Cong Wang from City University of Hong Kong (CityU), Hong Kong, on ""Some Challenges on Enabling Encrypted Cloud Media Centre"". This session is organized by Dr. Kui Ren from the State University of New York at Buffalo, USA, who will also give us the keynote on ""Secure Outsourcing Image Feature Extraction: Challenges and Solutions"". We hope that you will find this program interesting and thought-provoking.",,,2015,,,"Singapore, Republic of Singapore",
RA 10173 and Its Challenges to Philippine State Universities and Colleges' Compliance Performance: The Case of Mindanao State University - General Santos City,"Data privacy has become a major concern in the Philippines owing to the promulgation of Republic Act No. 10173, otherwise known as the Data Privacy Act of 2012, duly enforced by the National Privacy Commission (NPC). This study seeks to determine the level of compliance of Mindanao State University- General Santos City (MSU-GSC) as well as understand the challenges it encounters in accordance with the Data Privacy Act. Using a qualitative single holistic case study design and pattern matching technique, this paper was able to uncover how and why SUCs can comply with the RA 10173 and can apply such law in their information systems and academic processes. It was found out that MSU-GSC is qualitatively described as partially compliant and it further supports deterrence and legitimacy as its determinants. The moderating effect of compliance with RA 8792 or E-Commerce Act of 2000 also significantly affects its abidance with Data Privacy Act as efforts are continuously directed towards automating university processes and transactions. Moreover, three factors were identified that contributes primarily on the challenges of its compliance namely lack of better understanding, budgetary issues and time constraints. The study contributes to the literature by providing inputs about SUCs' continuing efforts toward compliance with RA 10173. It is suggested NPC to diffuse responsibility to SUCs, so as compliance with data privacy act will weigh down less. Further, it is expected a greater appreciation of the law will fuel enthusiasm to overcome challenges of compliance.",,"Doce, Lumer Jude P. and Ching, Michelle Renee D.",2018,10.1145/3234781.3234789,https://doi-org.proxy.bnl.lu/10.1145/3234781.3234789,"Hong Kong, Hong Kong",
Web Accessibility Assessment of Government Web Solutions: A Case Study in Digital India,"It is one of the prime intent of Government of India (GoI) to ensuremajority of government services to be delivered electronically to the citizen through the medium of web and mobile. It is therefore, besides making government services online, Digital India Programme of GoI is making concerted efforts towards improving the IT infrastructure and increasing Internet speed and penetration.Most of the websites for Information/Service delivery does not follow the best web practices. It has been observed that majority of Government websites are facing critical problems like missing identity of the website, outdated and irrelevant content and inconsistent presentation and navigation strategy. Above all, websites are also lacking sensitivity towards differently abled section of society who requires careful attention to access the government information and services. These flaws in government web sites are creating hurdle for the citizens to effectively use them.To address and resolve the above mentioned issue, the need of the hour is to build an efficient solution and mechanism. This will ensure effective delivery of information through the websites. In pursuance of the same, a set of guidelines were developed for Indian Government websites with an objective to make the Indian Government websites comply with the essential pre-requisites of UUU Trilogy i.e.; Usable, User-Centric and Universally Accessible and to establish a protocol for any website running under a Government establishment.This paper discuss about the basic issues and challenges in implementing the ""Guidelines for Indian Government Websites (GIGW)"" on few Indian Government websites of its key establishments namely NIC (National Informatics Centre) Portal (http://www.nic.in), MeitY (Ministry of Electronics and Information Technology) Portal (http://http://meity.gov.in) and Open Government Data Platform (https://data.gov.in) as well as a study conducted on National Mobile Governance Initiative (https://mgov.gov.in). This Paper also highlights the common reasons for the non-compliance of the guidelines and suggests mechanisms to expedite the process.",,"Misra, Durgaprasad and Mishra, Alka and Babbar, Sunil and Singh, Sunita",2017,10.1145/3047273.3047323,https://doi-org.proxy.bnl.lu/10.1145/3047273.3047323,"New Delhi AA, India",
