"Document Title","Abstract","Chosen","Authors","Author Affiliations","Publication Year","Page","DOI","Link","Content type"
"""We Even Borrowed Money From Our Neighbor"": Understanding Mobile-Based Frauds Through Victims' Experiences","Mobile-based scams are on the rise in emerging markets. However, the awareness about these scams and ways to avoid them remains limited among mobile users. We present a qualitative analysis of the dynamics of mobile-based fraud (specifically, SMS and call-based fraud) in Pakistan. We interviewed 96 participants, including different stakeholders in the mobile financial ecosystem: 71 victims of mobile-based scams, seven non-victims, 15 mobile money agents, and three officials from regulatory agencies that investigate mobile-based fraud. Leveraging the perspectives from these stakeholders and analyzing mobile-based fraud with a four-step social-engineering attack framework, we make four concrete contributions: First, we identify the nuances as well as specific tactics, methods, and resources that fraudsters use to scam mobile users. Second, we look at other actors, beyond the victim and the adversary, involved or affected by fraud and their roles at each step of the fraud process. Third, we discuss victims' understanding of mobile fraud, their behavior post-realization, and their attitudes toward reporting fraud. Finally, we discuss possible points of intervention and offer design recommendations to thwart mobile fraud, including addressing the vulnerabilities discovered in the ecosystem, utilizing existing actors to mitigate the consequences of these attacks, and realigning the design of fraud reporting mechanisms with the sociocultural practices.","Yes","Razaq L,Ahmad T,Ibtasam S,Ramzan U,Mare S","","2021","","10.1145/3449115","https://doi-org.proxy.bnl.lu/10.1145/3449115","Journal Article"
"A SWOT Analysis of Mobile Electronic Banking: The Zimbabwe Case","Zimbabwe is presently undergoing a transformative shift from a prevalently cash-based economy, to one using mobile electronic payments. The cash economy had the unintended consequence of excluding a large portion of the population from financial services, particularly banking services. This shift is significant for the economy because it has enabled the informal sector to tap into banking services. The Zimbabwean informal sector has gradually emerged as a major employer owing to economic challenges that have shrunk the formal sector. This reality has motivated mobile telephony companies to introduce innovative financial products targeting this sector. In this paper we use the SWOT framework to analyse the mobile banking sector in Zimbabwe. Our investigation seeks to inform stakeholders about the sector's potential and to caution about weaknesses that impact on stability and growth. We also characterise the processes involved in mobile banking to enable easy comparison of offerings from different service providers.","No","Nyandoro A,Mahleko B","","2015","218–238","10.1504/IJEF.2015.070531","https://doi-org.proxy.bnl.lu/10.1504/IJEF.2015.070531","Journal Article"
"A Study of Static Analysis Tools to Detect Vulnerabilities of Branchless Banking Applications in Developing Countries","The ubiquity of smart phones and their prevalence among the underprivileged has enabled the delivery of financial services to previously unbanked through digital means. At the same time it has exposed the same people to security vulnerabilities of digital infrastructure. In this paper, we analyze 10 Android Digital Financial Services (DFS) applications using static analysis tools and present results to show that off-the-shelf static bug checking tools, can be useful in finding many critical security bugs in DFS applications. Our findings also show that DFS applications from developing countries have more vulnerabilities in application specific code compared with DFS applications from developed countries. However, we observe that general purpose static analysis tools have low specificity for DFS specific bugs, such as the vulnerabilities in the use of cryptography and networking, and there is a need to develop better bug detection tools.","Yes","Ibrar F,Saleem H,Castle S,Malik MZ","","2017","","10.1145/3136560.3136595","https://doi-org.proxy.bnl.lu/10.1145/3136560.3136595","Conference Paper"
"Adoption of Mobile Commerce Technology: An Involvement of Trust and Risk Concerns","This research extended the Technology Acceptance Model TAM with perceived trust and perceived risks security and privacy concerns constructs to identify the impact of these factors on Jordanian users' intentions to adopt mobile commerce m-commerce. An empirical test was used utilizing 132 responses from students in two public universities in Jordan. Results indicated that perceived trust, perceived usefulness, and perceived ease of use are major influencers of mobile commerce adoption. On the other hand, perceived risk factors security and privacy concerns were not significant in this relation. Discussion, conclusion and future work are stated at the end of this paper.","No","Abu-Shanab E,Ghaleb O","","2012","36–49","10.4018/jtd.2012040104","https://doi-org.proxy.bnl.lu/10.4018/jtd.2012040104","Journal Article"
"An Assessment of SMS Fraud in Pakistan","SMS fraud has become a growing concern for those working toward financial inclusion, however, it is often unclear how widespread such threats are in practice. This multi-method study investigates SMS fraud in Pakistan through identification and categorization of fraudulent messages as well as the impact on those who receive such messages. We collect fraudulent SMS messages by various means, including byway of a custom-built Android smartphone application. To complement this, we interview people exposed to SMS fraud and representatives of mobile network operators. Based on our analysis, lottery type fraud schemes dominate SMS fraud in Pakistan, and these schemes have the greatest impact on vulnerable low-income, rural populations. We offer a simple heuristic for fraud detection that has a high accuracy rate and is adaptable to evolving fraud schemes, and conclude with a recommendation for a fraud mitigation strategy to target fraudster call back numbers.","No","Pervaiz F,Nawaz RS,Ramzan MU,Usmani MZ,Mare S,Heimerl K,Kamiran F,Anderson R,Razaq L","","2019","195–205","10.1145/3314344.3332500","https://doi-org.proxy.bnl.lu/10.1145/3314344.3332500","Conference Paper"
"An Empirical Investigation on Acceptance of Mobile Payment System Services in Jordan: Extending UTAUT2 Model with Security and Privacy","Several developed and developing countries have launched a mobile payment system service, which is known in Jordan as Jordan Mobile Payment (JoMoPay) system to overcome the drawbacks of traditional payment system. The system supports payment transactions by utilising mobile phones applications. However, the acceptance of JoMoPay system in Jordan is still below the level of expectation. This study was undertaken to understand and explain the acceptance of JoMoPay system based on extending the unified theory of acceptance and use of technology (UTAUT2) model in the Jordanian context. The model was extended by considering two additional constructs namely; security and privacy. Utilising a self-reported survey, collected data was analysed using structural equation modelling (SEM) to test the research model. Five constructs were found to be the determinants of behavioural intention to use JoMoPay system, namely performance expectancy, social influence, price value, security and privacy. Together they account for 61.4% of the variance in behavioural intention. However, effort expectancy, facilitating condition and hedonic motivation did not have a significant impact on behavioural intention to use JoMoPay system and hence the related hypotheses were not supported. Lastly, conclusions, limitations and future research directions will be discussed further in the last section of the paper.","No","Al-Okaily M,Rahman MS,Ali A,Abu-Shanab E,Masa'deh R","","2023","123–152","10.1504/ijbis.2023.128306","https://doi-org.proxy.bnl.lu/10.1504/ijbis.2023.128306","Journal Article"
"Analysis of the Essential Factors Affecting of Intention to Use of Mobile Learning Applications: A Comparison between Universities Adopters and Non-Adopters","Although mobile learning systems offer several benefits for students, academic staff and universities, from easily access and learning anywhere and anytime, the use and acceptance of this new technology in Jordan still very low. However, acceptance of mobile learning by students is crucial to the success of mobile learning. The factors that affect the use and user acceptance of mobile learning are still controversial. Thus, this study mainly proposes an integrated model, with the aim of identifying the most influential factors that may encourage or impede students and universities in Jordan in moving towards acceptance and adoption of mobile learning applications. The proposed model was evaluated empirically with 1200 students from both two groups of universities that already used the mobile learning technology and non-adopters universities in Jordan. The model aims to examine the impact of 11 factors on the adoption of mobile learning applications that were categorised based on four fundamental constructs are: (i) technological factors (security, privacy, compatibility, relative advantage and trust), (ii) organizational factors (resistance to change and technology readiness), (iii) cultural factors and (iv) quality factors (quality of system, quality of content and quality of service). The key findings include: (1) resistance to change, security and privacy concerns still limit mobile learning acceptance and adoption in Jordanian universities; (2) some factors like compatibility, technology readiness, and culture were found to have a negative effect on the intention to use of the mobile learning; (3) five factors (relative advantage, trust, quality of system, quality of content and quality of service) were found to have a positive effect on the intention to use of the mobile learning; and (4) our research also found that the effect of these factors differed in universities that already used the mobile learning and non-adopters. Finally, it is expected that the findings of this research can assist university decision makers, mobile learning application providers and the research community in introducing better strategies for encouraging adoption and acceptance of this technology.","Yes","Almaiah MA,Al Mulhem A","","2019","1433–1468","10.1007/s10639-018-9840-1","https://doi-org.proxy.bnl.lu/10.1007/s10639-018-9840-1","Journal Article"
"Cybersecurity Analysis to Determine the Impact on the Social Area in Latin America and the Caribbean","This document presents an introduction to the events that occurred in Latin America and the Caribbean, where banks are compromised by cyber-attacks, the same case is also seen in Ecuador, where losses from these attacks would amount to $ 6 billion by 2021. Our goal is to provide an analysis that demonstrates the social impact that cybersecurity has in Latin America and the Caribbean and a way to measure cybersecurity to combat threats due to constant technological progress and the great privacy risks presented to the day with cyber systems. The deductive method was used, adopting and generating a set of activities to evaluate the Total Cybersecurity (TC) of the cyber systems and / or companies to have a control of the security that it has and the improvements that can be implemented to prevent or combat Possible cyber threats or vulnerabilities. It resulted in cyber-resilience activities and activities based on the main functions before, during and after a cyber-attack. These activities are evaluated by the frequency of use, allowing each activity to assign a value and in this way apply the formulas proposed and obtain the CT, achieving the percentage of cybersecurity that has been implemented and discovering the weaknesses of the systems that They must be strengthened. It was concluded that in certain countries of Latin America and the Caribbean they have very little interest in the development and expansion of cybersecurity in their lands, unlike the progress of cybersecurity in European countries.","No","Toapanta SM,Jaramillo JM,Gallegos LE","","2020","73–78","10.1145/3375900.3375911","https://doi-org.proxy.bnl.lu/10.1145/3375900.3375911","Conference Paper"
"Cybersecurity Awareness Based on Software and E-Mail Security with Statistical Analysis","The aim of this study is to discover the impact of software security and e-mail security on overall cybersecurity among the students of Imam Abdulrahman Bin Faisal University in Dammam. Another main purpose to conduct this study is to know the level of knowledge students have in the developing countries about the cybersecurity and how much are they mindful of cyber-attacks and the level of awareness among the university students. Two important hypotheses were studied to discover their importance in awareness of cybersecurity. One is software security, and the other is e-mail security. A total of 11 relevant questions were drafted, and then these questions were distributed among the university students, and around 390 responded to the questionnaires. Statistical analysis was performed on the responses using tools. Initial tests such as validity and reliability test, feasibility test of a variable, correlation test, multicollinearity test, multiple regression, and Heteroskedasticity test were conducted using SPSS. And furthermore, multiple linear regression model and coefficient of determination, hypothesis test, ANOVA test, and partial test were conducted using ANOVA. The outcome of the analysis is software security variable (X1) that has a significant and positive effect on cybersecurity awareness (p value ≤0.001, β = 0.192). This shows that having a thorough understanding of software security can raise cybersecurity awareness up to 19.2%. E-mail security variable (X2) has a significant and positive effect on cybersecurityawareness (p-value ≤0.000). This shows that having a thorough understanding of email security can raise cybersecurity awareness up to 31.3%. Software security (X1) and e-mail security (X2) variables simultaneously have a significant effect on cybersecurity awareness (p-value ≤0.000) with a correlation coefficient of 12.1% (R2 = 0.121). This shows that the independent variable used can explain the level of cybersecurity awareness up to 12.1%. Research results show that students are aware of software or application updates. Furthermore, students’ awareness of email security is also good.","Yes","Alqahtani MA,Kumar V","","2022","","10.1155/2022/6775980","https://doi-org.proxy.bnl.lu/10.1155/2022/6775980","Journal Article"
"Examining Consumer Adoption and Perception of Mobile Money in Ghana","This paper investigates the consumer perception of a new electronic financial service in Ghana, namely mobile money MM. We analyse the relationships among five MM-related constructs, which are perceived ease of use PEOU, perceived usefulness PU, perceived mobile money security PMMS, attitude ATT, and intention to use IU. Importantly, the impact of age, family income, and gender on the relationships among the five MM constructs has been studied using a multi-group analysis approach. We find that PEOU, PU, and PMMS are significant determinants of ATT in the MM market in Ghana when age, family income, gender are not considered. However, the relationships among the five constructs exhibit significant variations when age, family income, and gender are considered. We also find an evidence that the effects of age, family income, and gender on consumers' perception of, ATT towards, and intention of using MM are significant in Ghana. The results of this study provide more insights into the research on MM, thus helping the development of marketing strategies for the service.","No","","","2016","18–41","10.1504/IJEF.2016.083490","https://doi-org.proxy.bnl.lu/10.1504/IJEF.2016.083490","Journal Article"
