"Document Title","Abstract","Authors","Publication Year","DOI","Link"
"""""A Comparative Study of User Data Security and Privacy in Native and Cross Platform Android Mobile Banking Applications""""","""""This research reports on security and privacy of user data transmitted in Android mobile banking applications. The basis of this approach was to experiment and urge a choice of development framework which ensures user data privacy in banking mobile applications of banks operating in Ghana. The results obtained directed attention to the fact that mobile banking applications developed using cross platform development frameworks (particularly Cordova) make applications less vulnerable by making use of most of the permissions requested ensuring user data privacy as compared to applications development using native development framework.""""","""""E. D. Ansong; T. Q. Synaepa-Addision""""","2019","10.1109/ICSIoT47925.2019.00007","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9058363"
"""""A Study of Static Analysis Tools to Detect Vulnerabilities of Branchless Banking Applications in Developing Countries""""","""""The ubiquity of smart phones and their prevalence among the underprivileged has enabled the delivery of financial services to previously unbanked through digital means. At the same time it has exposed the same people to security vulnerabilities of digital infrastructure. In this paper, we analyze 10 Android Digital Financial Services (DFS) applications using static analysis tools and present results to show that off-the-shelf static bug checking tools, can be useful in finding many critical security bugs in DFS applications. Our findings also show that DFS applications from developing countries have more vulnerabilities in application specific code compared with DFS applications from developed countries. However, we observe that general purpose static analysis tools have low specificity for DFS specific bugs, such as the vulnerabilities in the use of cryptography and networking, and there is a need to develop better bug detection tools.""""","""""Ibrar F,Saleem H,Castle S,Malik MZ""""","2017","10.1145/3136560.3136595","https://doi-org.proxy.bnl.lu/10.1145/3136560.3136595"
"""""Analysis of the Impact of Permissions on the Vulnerability of Mobile Applications""""","""""In this paper, we explored the potential risks of authorizations unexplained by benign apps in order to maintain the confidentiality and availability of personal data. More precisely, we focused on the mechanisms for managing risk permissions under Android to limit the impact of these permissions on vulnerability vectors. We analyzed a sample of forty (40) apps developed in Burkina Faso and identified abuses of dangerous authorizations in several apps in relation to their functional needs. We also discovered combinations of dangerous permissions because it exposes the confidentiality of the data. This analysis allowed us to establish a link between permissions and vulnerabilities, as a source of risk of data security. These risks facilitate exploits of privileges that should be reduced. We have therefore proposed the need to coordinate resolution mechanisms to the administrators, developers, users to better guide the required permissions by benign apps on Android.""""","""""Gouayon Koala; Didier Bassolé; Aminata Zerbo/Sabané; Tegawendé F. Bissyandé; Oumarou Sié""""","2020","10.1007/978-3-030-41593-8_1","https://link.springer.com/chapter/10.1007/978-3-030-41593-8_1"
"""""Determining factors and impacts of the intention to adopt mobile banking app in Cameroon: Case of SARA by afriland First Bank""""","""""This study aims to know what are the factors determining the adoption of M-Banking app among customers in Cameroon. In other words, what are the factors that influence users in their decisions to adopt and use a system or technology such as the MBanking app, and indirectly, what is the impact of this use on both the customers and financial inclusion? The research model developed relying on a combination of Technology Acceptance Model (TAM ), Unified Theory of Acceptance and Use of Technology ( UTAUT2 ), Information System Success Model ( ISSM ), and Protection Motivation Theory ( PMT ) and other constructs; it was then tested with a sample of 223 users of the “ SARA” M-Banking app of the financial institution called “ Afriland First Bank” . Findings revealed that: (1) utilitarian expectation, hedonic motivation, and status gain, habit, and perceived privacy concern have a significant influence on the intention to adopt M-Banking apps; and (2) the exploitative/explorative use of this technology has an impact on user’s loyalty and satisfaction but also contributes strongly to fostering financial inclusion in Cameroon. Also, the Multi-group analysis was performed on the sample using 2 gender-based groups (males, n=121; females, n=102).""""","""""Jean Robert {Kala Kamdjoug} and Serge-Lopez Wamba-Taguimdje and Samuel Fosso Wamba and Ingrid Bive'e Kake""""","2021","https://doi.org/10.1016/j.jretconser.2021.102509","https://www.sciencedirect.com/science/article/pii/S0969698921000758"
"""""Forensic Analysis of Mobile Banking Apps""""","""""Over the years, the proliferation of mobile banking applications has been on the increase. Financial institutions are taking advantage of mobile technology to provide accessible, ubiquitous, user-friendly, convenient, and cost-effective services to their customers. The mobile banking applications access and process sensitive user data. As such, they are required to manage such data in a high secure manner and run in secure environment. This study conducts a forensic investigation of twelve popular Android m-banking apps in Nigeria to determine if the generated backups by the mobile OS do not save sensitive data; the application removes sensitive data from view when backgrounded; sensitive data are not held longer than necessary in the memory, with the memory cleared after use; minimum device access security policies are enforced by the app, and users are educated by the app about the type of PII processed and security best practices in using the app. Our findings revealed that while none of the apps saved sensitive data in generated backup, all except one held data of sensitive value in the memory of the test device and did not enforce any device access security policy. Also, none of the apps removed sensitive data when backgrounded. In addition to serving as a source of information for forensic investigators, we believe our study could assist mobile banking app developers in identifying aspects of the development process that need attention, which would lead to better secured apps.""""","""""Oluwafemi Osho; Uthman L. Mohammed; Nanfa N. Nimzing; Andrew A. Uduimoh; Sanjay Misra""""","2019","10.1007/978-3-030-24308-1_49","https://link.springer.com/chapter/10.1007/978-3-030-24308-1_49"
"""""Let's Talk Money: Evaluating the Security Challenges of Mobile Money in the Developing World""""","""""Digital money drives modern economies, and the global adoption of mobile phones has enabled a wide range of digital financial services in the developing world. Where there is money, there must be security, yet prior work on mobile money has identified discouraging vulnerabilities in the current ecosystem. We begin by arguing that the situation is not as dire as it may seem---many reported issues can be resolved by security best practices and updated mobile software. To support this argument, we diagnose the problems from two directions: (1) a large-scale analysis of existing financial service products and (2) a series of interviews with 7 developers and designers in Africa and South America. We frame this assessment within a novel, systematic threat model. In our large-scale analysis, we evaluate 197 Android apps and take a deeper look at 71 products to assess specific organizational practices. We conclude that although attack vectors are present in many apps, service providers are generally making intentional, security-conscious decisions. The developer interviews support these findings, as most participants demonstrated technical competency and experience, and all worked within established organizations with regimented code review processes and dedicated security teams.""""","""""Castle S,Pervaiz F,Weld G,Roesner F,Anderson R""""","2016","10.1145/3001913.3001919","https://doi-org.proxy.bnl.lu/10.1145/3001913.3001919"
"""""Mo(Bile) Money, Mo(Bile) Problems: Analysis of Branchless Banking Applications""""","""""Mobile money, also known as branchless banking, leverages ubiquitous cellular networks to bring much-needed financial services to the unbanked in the developing world. These services are often deployed as smartphone apps, and although marketed as secure, these applications are often not regulated as strictly as traditional banks, leaving doubt about the truth of such claims. In this article, we evaluate these claims and perform the first in-depth measurement analysis of branchless banking applications. We first perform an automated analysis of all 46 known Android mobile money apps across the 246 known mobile money providers from 2015. We then perform a comprehensive manual teardown of the registration, login, and transaction procedures of a diverse 15% of these apps. We uncover pervasive vulnerabilities spanning botched certification validation, do-it-yourself cryptography, and other forms of information leakage that allow an attacker to impersonate legitimate users, modify transactions, and steal financial records. These findings show that the majority of these apps fail to provide the protections needed by financial services. In an expanded re-evaluation one year later, we find that these systems have only marginally improved their security. Additionally, we document our experiences working in this sector for future researchers and provide recommendations to improve the security of this critical ecosystem. Finally, through inspection of providers’ terms of service, we also discover that liability for these problems unfairly rests on the shoulders of the customer, threatening to erode trust in branchless banking and hinder efforts for global financial inclusion.""""","""""Reaves B,Bowers J,Scaife N,Bates A,Bhartiya A,Traynor P,Butler KR""""","2017","10.1145/3092368","https://doi-org.proxy.bnl.lu/10.1145/3092368"
"""""Vulnerability Analysis in Mobile Banking and Payment Applications on Android in African Countries""""","""""In this paper, we analyze vulnerability of some mobile banking and payment applications on Android platforms. This analysis aims at performing vulnerability assessments, facilitating an informed assessment of the information security and privacy risks that mobile banking and payment applications face in African countries, and creating awareness in the research and practice communities. We especially try to assess the risks of attacks related to privacy and data confidentiality by checking access permissions and code vulnerability of these applications. Another purpose of our work is to enable users, businesses and governments to take advantage of the opportunities offered by mobile banking and payment applications while minimising the information security risks to which they are exposed.  """"","""""Didier Bassolé; Gouayon Koala; Yaya Traoré; Oumarou Sié""""","2020","10.1007/978-3-030-51051-0_12","https://link.springer.com/chapter/10.1007/978-3-030-51051-0_12"
"""""“Desperate Times Call for Desperate Measures”: User Concerns with Mobile Loan Apps in Kenya""""","""""The usage of mobile loan applications has proliferated in developing countries. This is due to the ease and speed in which they disburse small loans to users, compared to traditional financial institutions, such as banks, that only offer similar loans based on existing customer relationship or collateral. As mobile loan apps are a relatively new industry, these apps are mostly unregulated and therefore tend to charge extremely high interest rates. Further, they collect and sometimes misuse sensitive user data through the course of verifying customers and ensuring loan repayment, such as users’ contacts and SMS communications through the mobile device permission system. Yet, the reasons for usage as well as privacy concerns with these mobile loan apps in the developing world, and specifically in Kenya, remain largely unexplored. To investigate mobile loan apps, we conducted semi-structured interviews (n = 20) with loan app users in Kenya, and we find that most users generally have privacy concerns, particularly regarding access to their phones’ contacts. However, they often overlook these concerns as this outweighs their need to procure loans. At the same time, we find that users struggle to understand the use of permissions by these mobile loan apps (and mobile apps generally), confirming prior research on comprehension of Android permissions. Our results highlight privacy risks, concerns and behavior with the emerging mobile loan app marketplace in the developing world, and we offer recommendations that can help protect their users’ security and privacy, including the need for transparent communication by these apps on how they collect, use and secure their users’ data.""""","""""C. W. Munyendo; Y. Acar; A. J. Aviv""""","2022","10.1109/SP46214.2022.9833779","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833779"
"""""Side-Effects of Permissions Requested by Mobile Banking on Android Platform: A Case Study of Morocco""""","""""No one among us can deny that Android has become in the last years one of the most popular mobile operating systems worldwide, as the price of this popularity, Android becomes the favorite destination of hackers and the main target of various attacks, which takes advantage of the users' ignorance. Nowadays, Android security has become a big problem due to the free app provided and features that make it very easy for anyone to develop it. Among the applications installed under Android we found M-Banking applications that are of course infected by the security problems that surround Android applications in all the coasts and we mention here especially the permissions requested when installing an M-Banking application that had in most cases no relation with their features or services provided. In this paper, we investigated the danger of the permissions requested by mobile banking applications, their effects on sensitive user data and that their relationship with the attack called ""Man in the middle"" and its different forms and we took Morocco as a case of study.""""","""""Latifa, Er-rajy and Ahemed, El Kiram My and Mohamed, El Ghazouani""""","2017","10.1145/3108421.3108433","https://doi-org.proxy.bnl.lu/10.1145/3108421.3108433"
