Document Title,Abstract,Chosen,Authors,Publication Year,DOI,Link,Content type
"""Security Assessment of Libyan Government Websites""","""Many governments organizations in Libya have started transferring traditional government services to e-government. These e-services will benefit a wide range of public. However, deployment of e-government bring many new security issues. Attackers would take advantages of vulnerabilities in these e-services and would conduct cyber attacks that would result in data loss, services interruptions, privacy loss, financial loss, and other significant loss. The number of vulnerabilities in e-services have increase due to the complexity of the e-services system, a lack of secure programming practices, miss-configuration of systems and web applications vulnerabilities, or not staying up-to-date with security patches. Unfortunately, there is a lack of study being done to assess the current security level of Libyan government websites. Therefore, this study aims to assess the current security of 16 Libyan government websites using penetration testing framework. In this assessment, no exploits were committed or tried on the websites. In penetration testing framework (pen test), there are four main phases: Reconnaissance, Scanning, Enumeration, Vulnerability Assessment and, SSL encryption evaluation. The aim of a security assessment is to discover vulnerabilities that could be exploited by attackers. We also conducted a Content Analysis phase for all websites. In this phase, we searched for security and privacy policies implementation information on the government websites. The aim is to determine whether the websites are aware of current accepted standard for security and privacy. From our security assessment results of 16 Libyan government websites, we compared the websites based on the number of vulnerabilities found and the level of security policies. We only found 9 websites with high and medium vulnerabilities. Many of these vulnerabilities are due to outdated software and systems, miss-configuration of systems and not applying the latest security patches. These vulnerabilities could be used by cyber hackers to attack the systems and caused damages to the systems. Also, we found 5 websites didn't implement any SSL encryption for data transactions. Lastly, only 2 websites have published security and privacy policies on their websites. This seems to indicate that these websites were not concerned with current standard in security and privacy. Finally, we classify the 16 websites into 4 safety categories: highly unsafe, unsafe, somewhat unsafe and safe. We found only 1 website with a highly unsafe ranking. Based on our finding, we concluded that the security level of the Libyan government websites are adequate, but can be further improved. However, immediate actions need to be taken to mitigate possible cyber attacks by fixing the vulnerabilities and implementing SSL encryption. Also, the websites need to publish their security and privacy policy so the users could trust their websites.""",,"""A. A. Ali; M. Zamri Murah""",2018,10.1109/CR.2018.8626862,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8626862,IEEE Conferences
"""“Desperate Times Call for Desperate Measures”: User Concerns with Mobile Loan Apps in Kenya""","""The usage of mobile loan applications has proliferated in developing countries. This is due to the ease and speed in which they disburse small loans to users, compared to traditional financial institutions, such as banks, that only offer similar loans based on existing customer relationship or collateral. As mobile loan apps are a relatively new industry, these apps are mostly unregulated and therefore tend to charge extremely high interest rates. Further, they collect and sometimes misuse sensitive user data through the course of verifying customers and ensuring loan repayment, such as users’ contacts and SMS communications through the mobile device permission system. Yet, the reasons for usage as well as privacy concerns with these mobile loan apps in the developing world, and specifically in Kenya, remain largely unexplored. To investigate mobile loan apps, we conducted semi-structured interviews (n = 20) with loan app users in Kenya, and we find that most users generally have privacy concerns, particularly regarding access to their phones’ contacts. However, they often overlook these concerns as this outweighs their need to procure loans. At the same time, we find that users struggle to understand the use of permissions by these mobile loan apps (and mobile apps generally), confirming prior research on comprehension of Android permissions. Our results highlight privacy risks, concerns and behavior with the emerging mobile loan app marketplace in the developing world, and we offer recommendations that can help protect their users’ security and privacy, including the need for transparent communication by these apps on how they collect, use and secure their users’ data.""",,"""C. W. Munyendo; Y. Acar; A. J. Aviv""",2022,10.1109/SP46214.2022.9833779,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833779,IEEE Conferences
"""Law Enforcement Access to Password Protected and/or Encrypted Mobile Data""","""The use of mobile phones in the commission of crime and terrorism pose serious investigative challenges to law enforcement agencies across the world. The discussion deals primarily with the extent a mobile phone service provider and/or or messaging applications provider and/or manufacturer must assist a law enforcement agency in gaining access to mobile data, specifically where the data is encrypted and/or password protected. It should be established whether a mobile phone service and/or applications provider and/or manufacturer must design security and/or privacy measures in such a way that law enforcement may gain access to the encrypted data. It may be argued that national security interests regarding the investigation of serious crimes such as kidnapping, child pornography, corruption and terrorism outweigh user privacy and user security. Terrorism affects all countries globally and in many instances result in the indiscriminate killing of a large number of people as illustrated by the Paris November 2015, the US December 2015, Abidjan, Ivory Coast, Brussels and Pakistan March 2016 killings. Although a law enforcement agency is pressurized to gather as much as possible evidence to investigate such heinous acts and prevent future attacks, the mobile phone evidence must be gathered within a legal framework that provides checks and balances to prevent the development of a police state resulting in the erosion or elimination of human rights. It is necessary to debate whether banning encryption and/or compelling a provider to have the technology to decrypt encrypted mobile communications or override password protected mobile data would serve as an investigative solution in the interest of national security or whether it would ultimately result in weakening user security and privacy to such an extent that all users around the world would be vulnerable to unlawful intrusions.""",,"""M. Watney""",2016,10.1109/ARES.2016.23,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7784598,IEEE Conferences
"""Impact of COVID-19 on Information Technology Sector in Egypt""","""Pandemics raise huge challenges yet brought several opportunities. The sudden attack of COVID-19 revealed the importance of the information technology (IT) applications. The Reliance on the IT sector has become imperative to ensure sustainability and to raise most sectors' performance efficiency, especially the services' ones. This study applied PESTEL analysis to evaluate the current status of IT in Egypt. SWOT analysis was performed to explore points of strength, weakness, opportunities, and threats that face the IT sector in Egypt as a result of the COVID19 attack. The process of foreseeing the future, through non-officials' experts brainstorming, is the first step to design and implement strategic plans to achieve the targeted future. To exploit the future of the IT sector, the direct and indirect influences of the mentioned factors were studied with the use of the future wheel. An optimistic scenario is introduced to foresee the effects of the mentioned recommendations. The imperative of taking advantage of the opportunity to spread digital applications and to allow internet and digital services usage for all citizens is Egypt's gateway to reach international standards.""",,"""W. Medhat; S. Fawzi; O. Fahmy; G. Hassan; M. Ramadan; A. Abdelbary; A. Hassan""",2021,10.1109/NILES53778.2021.9600090,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9600090,IEEE Conferences
"""A Comparative Study of User Data Security and Privacy in Native and Cross Platform Android Mobile Banking Applications""","""This research reports on security and privacy of user data transmitted in Android mobile banking applications. The basis of this approach was to experiment and urge a choice of development framework which ensures user data privacy in banking mobile applications of banks operating in Ghana. The results obtained directed attention to the fact that mobile banking applications developed using cross platform development frameworks (particularly Cordova) make applications less vulnerable by making use of most of the permissions requested ensuring user data privacy as compared to applications development using native development framework.""",,"""E. D. Ansong; T. Q. Synaepa-Addision""",2019,10.1109/ICSIoT47925.2019.00007,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9058363,IEEE Conferences
"""Contribution of mobile messaging applications to improve citizen security""","""Mobile technologies are nowadays perceived as the most reliable technologies in the context of developing countries. Getting acquainted and trained, users may enhance their livelihoods by adopting new technological approaches. The main motivation for adopting new technologies evolved from their use in own environment by solving daily problems. Therefore, users need to be convinced that the technology will work in their best interests, for instance for controlling and improving security issues among a given population. As security issues are important, also in Cameroon, the evident existence of mobile devices all over the land even in remote villages without electricity and drivable roads, is something we shall rely on. The overall existing mobile infrastructure is an established precondition for building and creating local adapted mobile services. Stuck to their devices, how can mobile users efficiently contribute to enhance security in own locality? In this paper, we suggest a software architectural model for the development of a system for collecting and dispatching security data amount a giving population. The proposed model resulted from the analysis of existing messaging applications and a survey conducted in the city of Ngaoundere in Cameroun by interviewing 46 qualified mobile users.""",,"""P. Dayang""",2016,10.1109/ISTAFRICA.2016.7530688,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7530688,IEEE Conferences
"""Statistical Insights and Fraud Techniques for Telecommunications Sector in Egypt""","""National Telecommunications Regulatory Authority (NTRA) has investigated the telecommunication performance in the service providers in Egypt between the periods of February 2018 till February 2019. Fraud is a multi-billions pounds' problem around the world. The problem is the huge financial loss of revenue that can affect the trustworthiness and performance of the telecommunication corporate. Egypt is one of the developing countries that are witnessing a rapid-growth development in its telecommunications infrastructure. As a result of the increment rate of corporate and internet users, fraudsters are exploiting the vulnerabilities to gain illegal revenue through the subscribers. The telecommunications sector in Egypt has suffered in the last two decades from different types of telecom fraud cases which have damaged the financial sector in both telecommunication side and governmental side. In this paper, we present: a) Statistical insights on users, mobile operators and Internet companies for the telecommunications sector in Egypt in 2018/2019. b) An illustration for the common fraudulent methodologies that are used against both users and telecom operators in Egypt. c) A discussion on the consequences of fraud cases with a suggested framework as a proactive methodology to prevent the escalated threat of telecom fraud.""",,"""A. A. Mawgoud; I. Ali""",2020,10.1109/ITCE48509.2020.9047767,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9047767,IEEE Conferences
"""Towards Blockchain Services For Mobile Money Traceability And Federation""","""This paper discusses a new approach to mobile money, a money transfer solution via mobile phone, which uses accounts associated with SIM (Subscriber Identity Module) identifiers, and which are managed by the Mobile Network Operators (MNOs). The first solution launched in Kenya in 2007, M-PESA is one of the world major mobile money services. Mobile money becomes the new monopoly of MMOs in an economic system where the rate of unbanked adults is very high. Currently in 2019 Orange Money makes nearly 1.5 million transactions per day, which corresponds to a monetary value of nearly 15 billion CFA francs per day. The USSD is the technology at the heart of the Mobile-money transactions. Blockchain, which is the underlying technology of the first crypto currency Bitcoin, has drawn a lot of global attention in recent years. Blockchain does not stop seeing its field of action widen. The field of action of the Blockchain has not yet completed its enlargement. The rate of unbanked is still very high in developing countries; this rate is a factor that does not favor the emergence of the economy. It is necessary to count on the mobile money to skip this obstacle (according to the World Bank) we make here the state of the art on the mobile money and its underlying technologies in the sub-Saharan countries and in Burkina-Faso. We propose a mobile-money solution based on the Blockchain, in order to increase security, trust, and move towards a federation of mobile-money platforms.""",,"""K. E. AGBEZOUTSI; P. URIENe; T. M. DANDJINOU""",2019,10.1109/CSNet47905.2019.9108970,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9108970,IEEE Conferences
"""Promoting savings among low income earners in Kenya through mobile money""","""With most households in rural Kenya dependent on meagre wages from manual labor, the task of balancing immediate family needs with long-term financial goals is usually a difficult task, which in most cases leave families with minimal or no savings. This paper articulates a study to investigate the potential of using mobile money accounts as a money management platform that can help promote a savings culture as well as establish and nurture financial discipline among poor households in Kenya. Based on the premises that 41% of Kenyans do not save regularly because they do not have “enough money to live on let alone save for a rainy day”, the study examined innovative ways in which poor households could use mobile money accounts as a tool for financial inclusion, achieving household financial security, and enhancing family role performance. The study took place in Nairobi's Mathare slum. It aimed to understand, in depth, mobile money savings accounts usage among poor households. Key informants were low income traders, who earns a daily income of less than two dollars (about 200 Kenya Shillings). Data was collected using a questionnaire, informal conversations and contextual interviews and supplemented by in-depth interviews with managers from a leading mobile money service provider and the mobile money provider commercial banks. The study results indicates that lack of awareness on the available and affordable mobile money savings products, low interest rates on mobile money fixed deposit savings accounts and high transaction costs when making mobile money payments impacts negatively on mobile money fixed deposit savings accounts usage while availability of microcredit on mobile money savings accounts has a positive effect on the usage. The study provides policy and technology design recommendations that could aid in mobile money lock savings accounts acceptance.""",,"""P. K. Wamuyu""",2016,10.1109/ISTAFRICA.2016.7530699,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7530699,IEEE Conferences
"""On Optimal Crowd-Sensing Task Management in Developing Countries""","""In developing countries, crop field productivity is particularly vulnerable to spreading diseases, including viruses and fungi. This is mostly due to the lack of skilled plant pathologists as well as to the scarce fund and poor infrastructure (e.g., roads, power and water lines) availability. The PlantVillage project through its mobile application named Nuru provides an AI digital assistant to recognize plants and their diseases through image analysis. Through the use of Nuru endowed smartphones, farmers can participate in a mobile crowd-sensing framework to improve their crop production. The crowd sensing framework also contributes to early detection of the outbreak of spreading diseases across geographical regions, and consequent adoption of appropriate countermeasures to ensure food security. As devices are often granted in a limited number by countries' government or charities, we propose a Farmer to Farmer (F2F) cooperation to achieve the required Quality of Information (QoI) for the system. In particular, only a selected crew of farmers receive smartphones to monitor their own farm as well as some other farmers' one. We formulate two variants of the problem of mobile device deployment and task assignment and propose related solutions. We evaluate the proposed approaches through simulations and apply them to a test-bed in Kenya.""",,"""A. Coletta; N. Bartolini; G. Maselli; D. P. Hughes""",2020,10.1109/PerComWorkshops48775.2020.9156081,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9156081,IEEE Conferences
"""Rebuilding the Internet Exchange Point in Uganda""","""Uganda is a land locked country in South East Africa. It is separated from the Indian ocean by Kenya to the east and Tanzania to the south. It is separated from South Atlantic by the Democratic Republic of the Congo to the west. Uganda's connection to the Internet is overland to Mombasa, Kenya where the Seacom cable installed in 2009 connected Mombasa to Europe with a capacity of 640 Gb/s and the World Bank funded Eastern Africa Submarine Cable System (EASSy) undersea fibre optic cable connects Eastern Africa to South Africa and Europe with a capacity of 1.4 Tb/s. [1]. Additionally until recently Uganda was dependent upon a single overland link to Kenya via Uganda Electricity Transmission Company Limited (UETCL) power lines whereas today there are a number of options such as the Seacom cable fibre cable completed in 2015. During the 2010 FIFA World Cup Final a terrorist attack on the Kyandondo Rugby Club in Nakawa, Kampala brought all Internet Service Providers (ISP) in Uganda off-line as the rugby ground sits directly underneath the UETCL power lines bring Internet services from Kenya. This leaves Uganda at significant disadvantage regionally and to-date the technology industry has tended to converge at Mombassa and Nairobi as well as in Dar es Salaam, Tanzania. Recently however as the modern Internet services require Global Service Providers (GSP) to get closer to the end-user so they can avail of lower latency, higher bandwidth applications, the justification for serving all of South East Africa from data centres in Narobi, Mombassa, Dar es Salaam and even from South Africa is becoming less valid. In order to facilitate the deployment of locally hosted content and reduce the country's reliance on international cables, additional capacity was required at the country's primary local interconnection point, the Uganda Internet Exchange Point (UIXP). UIXP is currently developing its infrastructure to support a larger membership encompassing growing demand from both ISPs and Application Service Providers (ASP). This paper serves to outline the developments that are being put in place to take UIXP from a local Internet eXchange Point (IXP) supporting local ISPs and e-government services to the next level where it is in a position to support GSP Content Delivery Networks (CDN) and therefore pave the way for the next phase of development of the Internet in Uganda.""",,"""D. Ó Briain; D. Denieffe; Y. Kavanagh; D. Okello""",2017,10.1109/ISSC.2017.7983601,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7983601,IEEE Conferences
"""Promoting e-participation in County Governments: A case of a county government in a developing country""","""Public participation is considered an important pillar in governance in Kenya as demonstrated by the way it has been severally enshrined in the constitution of Kenya 2010 as well as the County Governments Acts. Despite such policy and regulatory frameworks for public participation being in place, county governments in Kenya are still characterized by poor public participation in governance and government processes. Additionally, despite several studies demonstrating that information technology (IT) is a critical enabler of public participation, not much is known on how county governments in Kenya are harnessing the power of technology for public participation. This research attempts to understand how IT is being used for public participation, and the current challenges associated with its application in the promotion of public participation in county governments in Kenya. This paper, presents the initial findings from one of the counties. The study used interviews with both junior and senior county officials. Additionally, county documents as well as information from county websites and social media platforms were used. The study findings have revealed that the use of IT was gaining prominence in county engagements with the public, more specifically, the use of social media. However, it would appear that civic participation through these platforms was minimal. Additionally, the county strategic documents reveal that e-participation is yet to be appreciated as a strategic factor in increasing and enriching public participation in county governance. Several challenges were also identified and these are presented in this paper. It was thus hoped that these findings would enable an increasing understanding of the prevailing local circumstances which inhibit e-participation within county governments. The findings have practical implications on how county governments in Kenya (and possibly other developing countries) may better position themselves to exploit technology for improved public participation.""",,"""J. R. A. Ndiege""",2020,10.1109/ICEDEG48599.2020.9096756,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9096756,IEEE Conferences
"""Adoption and use of mHealth system for livestock farmers in Karura village in Kenya""","""The emerging trend of mobile health (mHealth) provides an opportunity for farmers to receive and share information. Mobile health is a service or application that involves voice or data communication for health purposes between a central point and remote locations, it includes the use of mobile phones and other devices as platforms for health related purposes as long as there is some use of a network. Although its endorsement is escalating rapidly, there are concerns that must be considered. This paper establishes the most relevant concerns related to the strengths, weaknesses, opportunities and threats regarding adoption of mHealth. The aim is to explore the potential of mHealth adoption in disseminating information to livestock farmers in Karura village in Kenya. Adoption of this technology is important to livestock farmers, service providers, veterinary doctors, and research institutions.""",,"""T. Kihara; D. Gichoya""",2015,10.1109/ISTAFRICA.2015.7190568,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7190568,IEEE Conferences
