"App analysis","Type of security issue","Security is only mentioned, not the main focus","Security is the main focus","Users study","Not MAR","Mobile App related (MAR)","Document Title","Abstract","Chosen","Authors","Publication Year","DOI","Link","Content type"
"No","""""SMS and call-based Fraud""""","No","Yes","Yes","No","No","""""""We Even Borrowed Money From Our Neighbor"": Understanding Mobile-Based Frauds Through Victims' Experiences""""","""""Mobile-based scams are on the rise in emerging markets. However, the awareness about these scams and ways to avoid them remains limited among mobile users. We present a qualitative analysis of the dynamics of mobile-based fraud (specifically, SMS and call-based fraud) in Pakistan. We interviewed 96 participants, including different stakeholders in the mobile financial ecosystem: 71 victims of mobile-based scams, seven non-victims, 15 mobile money agents, and three officials from regulatory agencies that investigate mobile-based fraud. Leveraging the perspectives from these stakeholders and analyzing mobile-based fraud with a four-step social-engineering attack framework, we make four concrete contributions: First, we identify the nuances as well as specific tactics, methods, and resources that fraudsters use to scam mobile users. Second, we look at other actors, beyond the victim and the adversary, involved or affected by fraud and their roles at each step of the fraud process. Third, we discuss victims' understanding of mobile fraud, their behavior post-realization, and their attitudes toward reporting fraud. Finally, we discuss possible points of intervention and offer design recommendations to thwart mobile fraud, including addressing the vulnerabilities discovered in the ecosystem, utilizing existing actors to mitigate the consequences of these attacks, and realigning the design of fraud reporting mechanisms with the sociocultural practices.""""","","""""Razaq L,Ahmad T,Ibtasam S,Ramzan U,Mare S""""","2021","10.1145/3449115","https://doi-org.proxy.bnl.lu/10.1145/3449115","Journal Article"
"Yes","""""Security and Privacy of users’ data""""","No","Yes","No","No","Yes","""""A Comparative Study of User Data Security and Privacy in Native and Cross Platform Android Mobile Banking Applications""""","""""This research reports on security and privacy of user data transmitted in Android mobile banking applications. The basis of this approach was to experiment and urge a choice of development framework which ensures user data privacy in banking mobile applications of banks operating in Ghana. The results obtained directed attention to the fact that mobile banking applications developed using cross platform development frameworks (particularly Cordova) make applications less vulnerable by making use of most of the permissions requested ensuring user data privacy as compared to applications development using native development framework.""""","Yes","""""E. D. Ansong; T. Q. Synaepa-Addision""""","2019","10.1109/ICSIoT47925.2019.00007","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9058363","IEEE Conferences"
"No","""""","No","No","No","Yes","No","""""A Novel Mobile Payment Scheme based on Secure Quick Response Payment with Minimal Infrastructure for Cooperative Enterprise in Developing Countries""""","""""Cooperative play essential role in national development because it can improve the prosperity of society. This paper proposes a novel mobile payment scheme for cooperative. Our scheme modifies the existing QR-Pay system by eliminate the need to connect to the networks, since developing countries still facing difficulties on internet connection. It also proposes two factor authentication and Quick Response (QR) encrypted content to improve the security. Therefore, this model delivers more convenience and security to pay using mobile device easily, with just a snap of a QR code and requires no internet connection. This model is suitable for developing countries.""""","","""""Hatma Suryotrisongko and  Sugiharsono and Bambang Setiawan""""","2012","https://doi.org/10.1016/j.sbspro.2012.11.218","https://www.sciencedirect.com/science/article/pii/S1877042812052032","article"
"No","""Crypto""","Yes","No","No","Yes","No","""""A SWOT Analysis of Mobile Electronic Banking: The Zimbabwe Case""""","""""Zimbabwe is presently undergoing a transformative shift from a prevalently cash-based economy, to one using mobile electronic payments. The cash economy had the unintended consequence of excluding a large portion of the population from financial services, particularly banking services. This shift is significant for the economy because it has enabled the informal sector to tap into banking services. The Zimbabwean informal sector has gradually emerged as a major employer owing to economic challenges that have shrunk the formal sector. This reality has motivated mobile telephony companies to introduce innovative financial products targeting this sector. In this paper we use the SWOT framework to analyse the mobile banking sector in Zimbabwe. Our investigation seeks to inform stakeholders about the sector's potential and to caution about weaknesses that impact on stability and growth. We also characterise the processes involved in mobile banking to enable easy comparison of offerings from different service providers.""""","","""""Nyandoro A,Mahleko B""""","2015","10.1504/IJEF.2015.070531","https://doi-org.proxy.bnl.lu/10.1504/IJEF.2015.070531","Journal Article"
"Yes","""""Vulnerabilities in BBA""""","No","Yes","No","No","Yes","""""A Study of Static Analysis Tools to Detect Vulnerabilities of Branchless Banking Applications in Developing Countries""""","""""The ubiquity of smart phones and their prevalence among the underprivileged has enabled the delivery of financial services to previously unbanked through digital means. At the same time it has exposed the same people to security vulnerabilities of digital infrastructure. In this paper, we analyze 10 Android Digital Financial Services (DFS) applications using static analysis tools and present results to show that off-the-shelf static bug checking tools, can be useful in finding many critical security bugs in DFS applications. Our findings also show that DFS applications from developing countries have more vulnerabilities in application specific code compared with DFS applications from developed countries. However, we observe that general purpose static analysis tools have low specificity for DFS specific bugs, such as the vulnerabilities in the use of cryptography and networking, and there is a need to develop better bug detection tools.""""","Yes","""""Ibrar F,Saleem H,Castle S,Malik MZ""""","2017","10.1145/3136560.3136595","https://doi-org.proxy.bnl.lu/10.1145/3136560.3136595","Conference Paper"
"No","""""Security and Privacy""""","No","Yes","Yes","Yes","No","""""A Survey for User's Awareness and Practices Regarding Smartphone Security and Privacy in Afghanistan""""","""""Although the smartphone has become an integral part of life today, it has also posed some challenges to user security and privacy. To assess learners' and lecturers' awareness of smartphone security and privacy, a study was conducted; based on the findings, some best practices have been suggested for smartphone users. This work reflects the results of a survey conducted in (April - August) 2020 at Sheikh Zayed University (SZU), Khost, Afghanistan, regarding user awareness of smartphone security and privacy. 313 responses were received in total. From the general behaviors and practices of learners and lecturers, it seems that they think communication by smartphone and the use of applications are secure. The findings show learners and lecturers lack sufficient security awareness and are unaware of essential measures to prevent potential illegal access to and retrieval of confidential data from their smartphones. Therefore, users fail to protect their smartphones and private data; they need to be educated to minimize the hazards.""""","","""""J. Hamdard; A. Khamosh; J. H. Chan""""","2020","10.1109/InCIT50588.2020.9310935","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9310935","IEEE Conferences"
"No","""""","No","No","No","Yes","No","""""A note on modified SET protocol for mobile payment""""","""""Recently a modified SET protocol for mobile payment (MSET) has been proposed in the literature. MSET claims to be a promising protocol for mobile payment. However, we have observed certain flaws and drawbacks in the proposed protocol. In this paper we discuss those flaws and drawbacks and propose counter measures for the same to ensure secure transaction. The first flaw is that a dishonest client can buy goods from a merchant without paying the actual price of the goods. We also observed that the MSET protocol lacks the Non-Repudiation property of transaction. Further, we would like to mention that the modified SET is using certificate, which is having no use once the symmetric key is distributed. This causes communication overhead for the mobile application. As a result the protocol will be useful only for mobiles with reasonably high processing power. With the growing demand of mobile based payment systems in developing countries this could be a disadvantage.""""","","""""D. M. Tripathi""""","2011","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6148412","IEEE Conferences"
"No","""""","Yes","No","No","Yes","No","""""A secure mobile payment system using QR code""""","""""Mobile phones have become an inseparable companion for many users, serving much more than just communication tools. In developing countries, the number of mobile phone users exceeds the number of those having bank accounts. Besides, the low banking service penetration and the large migrant communities are another factor to utilize mobile phones for payment purposes. Therefore, mobile payment may find the success it is targeting easily and much faster than in developed countries. There are a lot of variables involved related to Mobile Payments. In this paper, the various models used for Mobile payments are first discussed. Then, the paper will propose a scenario for mobile payment that tackles both concerns of the process, namely: speed of transaction and security, without complicating the process or making it undesirable to users.""""","","""""S. Nseir; N. Hirzallah; M. Aqel""""","2013","10.1109/CSIT.2013.6588767","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6588767","IEEE Conferences"
"No","""""","No","No","No","Yes","No","""""A secured electronic transaction scheme for mobile banking in Bangladesh incorporating digital watermarking""""","""""Nowadays internet-based banking is getting popularity because of its several advantages, such as ease of operation and virtual monetary activities, i.e., client's physical presence at different bank locations is no more required. However, because of scarcity of accessibility at different locations, cost, and slow speed, number of people using internet communication is a small percentage of the mobile phone users, especially in the developing countries. Moreover, security in internet-based banking is still a major concern. Most of the financial institutions have their own domain and offer web-based transaction facilities. In this paper, we propose a scheme to utilize the internet based existing banking facility via short message service (SMS) available in mobile phone technology without having the internet connection. In view of ensuring a high level of security, we introduce two-level security scheme: voice verification and digital watermarking.""""","","""""S. B. Alam; H. M. D. Kabir; M. N. Sakib; A. B. M. R. Sazzad; C. Shahnaz; S. A. Fattah""""","2010","10.1109/ICITIS.2010.5689618","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5689618","IEEE Conferences"
"No","""""","No","No","No","Yes","No","""""Adoption and use of mHealth system for livestock farmers in Karura village in Kenya""""","""""The emerging trend of mobile health (mHealth) provides an opportunity for farmers to receive and share information. Mobile health is a service or application that involves voice or data communication for health purposes between a central point and remote locations, it includes the use of mobile phones and other devices as platforms for health related purposes as long as there is some use of a network. Although its endorsement is escalating rapidly, there are concerns that must be considered. This paper establishes the most relevant concerns related to the strengths, weaknesses, opportunities and threats regarding adoption of mHealth. The aim is to explore the potential of mHealth adoption in disseminating information to livestock farmers in Karura village in Kenya. Adoption of this technology is important to livestock farmers, service providers, veterinary doctors, and research institutions.""""","","""""T. Kihara; D. Gichoya""""","2015","10.1109/ISTAFRICA.2015.7190568","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7190568","IEEE Conferences"
